"frequency";"r dB(S[2,1])";"i dB(S[2,1])"
1.42832e+06;-0.0363176;0
1.47316e+06;-0.0374847;0
1.51941e+06;-0.0386985;0
1.56711e+06;-0.0399613;0
1.61631e+06;-0.0412755;0
1.66705e+06;-0.0426435;0
1.71939e+06;-0.044068;0
1.77337e+06;-0.0455516;0
1.82904e+06;-0.0470973;0
1.88646e+06;-0.0487081;0
1.94569e+06;-0.0503874;0
2.00677e+06;-0.0521383;0
2.06977e+06;-0.0539646;0
2.13475e+06;-0.05587;0
2.20177e+06;-0.0578585;0
2.2709e+06;-0.0599342;0
2.34219e+06;-0.0621016;0
2.41572e+06;-0.0643654;0
2.49156e+06;-0.0667305;0
2.56978e+06;-0.069202;0
2.65046e+06;-0.0717855;0
2.73367e+06;-0.0744866;0
2.81949e+06;-0.0773116;0
2.90801e+06;-0.0802667;0
2.9993e+06;-0.0833588;0
3.09347e+06;-0.0865949;0
3.19058e+06;-0.0899826;0
3.29075e+06;-0.0935298;0
3.39406e+06;-0.0972449;0
3.50062e+06;-0.101137;0
3.61052e+06;-0.105214;0
3.72387e+06;-0.109487;0
3.84077e+06;-0.113967;0
3.96135e+06;-0.118662;0
4.08572e+06;-0.123587;0
4.21399e+06;-0.128751;0
4.34628e+06;-0.134168;0
4.48273e+06;-0.13985;0
4.62346e+06;-0.145813;0
4.76862e+06;-0.15207;0
4.91832e+06;-0.158638;0
5.07273e+06;-0.165531;0
5.23199e+06;-0.172767;0
5.39624e+06;-0.180364;0
5.56566e+06;-0.18834;0
5.74039e+06;-0.196715;0
5.9206e+06;-0.205509;0
6.10648e+06;-0.214744;0
6.29819e+06;-0.224441;0
6.49591e+06;-0.234624;0
6.69985e+06;-0.245318;0
6.91019e+06;-0.256546;0
7.12713e+06;-0.268337;0
7.35088e+06;-0.280716;0
7.58166e+06;-0.293712;0
7.81968e+06;-0.307355;0
8.06517e+06;-0.321674;0
8.31838e+06;-0.336701;0
8.57953e+06;-0.352468;0
8.84888e+06;-0.369008;0
9.12668e+06;-0.386356;0
9.41321e+06;-0.404546;0
9.70873e+06;-0.423612;0
1.00135e+07;-0.443592;0
1.03279e+07;-0.464522;0
1.06521e+07;-0.486439;0
1.09866e+07;-0.50938;0
1.13315e+07;-0.533381;0
1.16872e+07;-0.558481;0
1.20541e+07;-0.584714;0
1.24326e+07;-0.612117;0
1.28229e+07;-0.640725;0
1.32254e+07;-0.670572;0
1.36407e+07;-0.701688;0
1.40689e+07;-0.734103;0
1.45106e+07;-0.767845;0
1.49661e+07;-0.802938;0
1.5436e+07;-0.839402;0
1.59206e+07;-0.877254;0
1.64204e+07;-0.916506;0
1.69359e+07;-0.957163;0
1.74676e+07;-0.999228;0
1.8016e+07;-1.04269;0
1.85816e+07;-1.08754;0
1.9165e+07;-1.13376;0
1.97666e+07;-1.18131;0
2.03872e+07;-1.23015;0
2.10272e+07;-1.28023;0
2.16874e+07;-1.33148;0
2.23682e+07;-1.38384;0
2.30705e+07;-1.43719;0
2.37948e+07;-1.49146;0
2.45418e+07;-1.54649;0
2.53123e+07;-1.60217;0
2.61069e+07;-1.65834;0
2.69265e+07;-1.71481;0
2.77719e+07;-1.77139;0
2.86438e+07;-1.82786;0
2.9543e+07;-1.884;0
3.04705e+07;-1.93952;0
3.14271e+07;-1.99416;0
3.24138e+07;-2.0476;0
3.34314e+07;-2.0995;0
3.44809e+07;-2.14951;0
3.55634e+07;-2.19723;0
3.66799e+07;-2.24226;0
3.78315e+07;-2.28416;0
3.90192e+07;-2.32245;0
4.02442e+07;-2.35667;0
4.15076e+07;-2.38628;0
4.28107e+07;-2.41077;0
4.41547e+07;-2.42957;0
4.55409e+07;-2.44213;0
4.69707e+07;-2.44788;0
4.84453e+07;-2.44624;0
4.99662e+07;-2.43666;0
5.15349e+07;-2.41862;0
5.31528e+07;-2.39162;0
5.48215e+07;-2.35525;0
5.65426e+07;-2.3092;0
5.83177e+07;-2.25329;0
6.01485e+07;-2.18753;0
6.20369e+07;-2.1122;0
6.39845e+07;-2.02787;0
6.59932e+07;-1.93553;0
6.80651e+07;-1.83668;0
7.02019e+07;-1.73342;0
7.24059e+07;-1.62857;0
7.4679e+07;-1.52572;0
7.70235e+07;-1.42927;0
7.94416e+07;-1.34441;0
8.19357e+07;-1.2769;0
8.4508e+07;-1.23279;0
8.71611e+07;-1.21787;0
8.98974e+07;-1.23711;0
9.27197e+07;-1.29386;0
9.56306e+07;-1.38931;0
9.86329e+07;-1.52202;0
1.01729e+08;-1.68788;0
1.04923e+08;-1.88027;0
1.08217e+08;-2.09069;0
1.11615e+08;-2.30935;0
1.15119e+08;-2.52589;0
1.18733e+08;-2.73002;0
1.2246e+08;-2.91189;0
1.26305e+08;-3.06253;0
1.3027e+08;-3.1741;0
1.3436e+08;-3.24017;0
1.38578e+08;-3.2561;0
1.42929e+08;-3.21972;0
1.47416e+08;-3.13219;0
1.52044e+08;-2.99938;0
1.56817e+08;-2.83347;0
1.6174e+08;-2.65467;0
1.66818e+08;-2.49173;0
1.72055e+08;-2.37971;0
1.77457e+08;-2.35324;0
1.83028e+08;-2.43562;0
1.88774e+08;-2.62844;0
1.94701e+08;-2.90832;0
2.00813e+08;-3.23326;0
2.07117e+08;-3.55413;0
2.1362e+08;-3.82514;0
2.20326e+08;-4.01017;0
2.27243e+08;-4.08621;0
2.34377e+08;-4.04641;0
2.41736e+08;-3.90496;0
2.49325e+08;-3.70392;0
2.57152e+08;-3.51694;0
2.65225e+08;-3.43714;0
2.73552e+08;-3.53726;0
2.8214e+08;-3.8202;0
2.90998e+08;-4.2085;0
3.00133e+08;-4.58608;0
3.09556e+08;-4.84985;0
3.19274e+08;-4.93946;0
3.29298e+08;-4.85242;0
3.39636e+08;-4.65859;0
3.50298e+08;-4.50351;0
3.61296e+08;-4.55182;0
3.72638e+08;-4.85677;0
3.84337e+08;-5.29357;0
3.96403e+08;-5.65923;0
4.08848e+08;-5.80914;0
4.21684e+08;-5.72769;0
4.34922e+08;-5.55727;0
4.48576e+08;-5.55225;0
4.62659e+08;-5.85836;0
4.77184e+08;-6.31935;0
4.92165e+08;-6.64258;0
5.07616e+08;-6.67884;0
5.23553e+08;-6.54941;0
5.39989e+08;-6.58741;0
5.56942e+08;-6.9645;0
5.74427e+08;-7.41436;0
5.92461e+08;-7.59865;0
6.11061e+08;-7.53079;0
6.30245e+08;-7.59386;0
6.50031e+08;-8.00662;0
6.70438e+08;-8.41934;0
6.91486e+08;-8.50981;0
7.13195e+08;-8.51731;0
7.35585e+08;-8.86164;0
7.58679e+08;-9.30894;0
7.82497e+08;-9.44484;0
8.07063e+08;-9.53106;0
8.324e+08;-9.95604;0
8.58533e+08;-10.3251;0
8.85486e+08;-10.4214;0
9.13286e+08;-10.7386;0
9.41958e+08;-11.1896;0
9.7153e+08;-11.361;0
1.00203e+09;-11.6759;0
1.03349e+09;-12.1321;0
1.06593e+09;-12.3417;0
1.0994e+09;-12.7434;0
1.13391e+09;-13.1509;0
1.16951e+09;-13.4245;0
1.20623e+09;-13.9158;0
1.2441e+09;-14.235;0
1.28316e+09;-14.6867;0
1.32344e+09;-15.1004;0
1.36499e+09;-15.5239;0
1.40784e+09;-15.9977;0
1.45204e+09;-16.4343;0
1.49763e+09;-16.9371;0
1.54464e+09;-17.4128;0
1.59314e+09;-17.9287;0
1.64315e+09;-18.4585;0
1.69474e+09;-18.982;0
1.74794e+09;-19.5655;0
1.80282e+09;-20.1158;0
1.85942e+09;-20.7227;0
1.91779e+09;-21.338;0
1.978e+09;-21.9549;0
2.0401e+09;-22.6148;0
2.10415e+09;-23.2903;0
2.1702e+09;-23.9743;0
2.23834e+09;-24.6865;0
2.30861e+09;-25.4273;0
2.38109e+09;-26.1885;0
2.45584e+09;-26.9698;0
2.53294e+09;-27.775;0
2.61246e+09;-28.6066;0
2.69448e+09;-29.4651;0
2.77907e+09;-30.3509;0
2.86631e+09;-31.2643;0
2.9563e+09;-32.2062;0
3.04911e+09;-33.1774;0
3.14484e+09;-34.1791;0
3.24357e+09;-35.2122;0
3.3454e+09;-36.2778;0
3.45042e+09;-37.3765;0
3.55875e+09;-38.5094;0
3.67047e+09;-39.6776;0
3.78571e+09;-40.8826;0
3.90456e+09;-42.1255;0
4.02714e+09;-43.407;0
4.15357e+09;-44.7288;0
4.28397e+09;-46.0919;0
4.41846e+09;-47.4977;0
4.55717e+09;-48.9475;0
4.70024e+09;-50.4428;0
4.84781e+09;-51.9848;0
5e+09;-53.5752;0
